sample_date,sample_id,tin_weight_g,wet_weight_g,dry_weight_2d,dry_weight_4d
2025-02-28,M_1_6,4.131,84.673,69.885,69.855
2025-02-28,M_1_18,3.735,92.086,74.572,74.476
2025-02-28,M_1_24,3.586,98.636,83.25,83.205
2025-02-28,M_1_30,4.154,147.807,123.281,123.211
2025-02-28,M_2_6,3.787,87.844,72.847,72.79
2025-02-28,M_2_18,3.997,67.625,55.525,55.484
2025-02-28,M_2_24,3.717,95.394,77.338,77.273
2025-02-28,M_2_>24,3.719,76.49,64.133,64.106
2025-02-28,S_1_6,3.728,70.11,61.247,61.21
2025-02-28,S_1_18,3.881,72.989,64.834,64.799
2025-02-28,S_1_24,3.888,62.985,57.209,57.196
2025-02-28,S_2_6,3.873,83.419,72.137,72.084
2025-02-28,S_2_18,4.048,85.42,80.057,80.044
2025-02-28,S_2_24,3.691,87.41,81.407,81.384
2025-04-07,M_1_6,4.149,117.915,NA,99.919
2025-04-07,M_1_18,3.715,104.643,NA,92.881
2025-04-07,M_2_6,3.762,109.69,NA,91.184
2025-04-07,M_2_18,3.98,175.086,NA,142.93
2025-04-07,M_3_6,4.118,164.995,NA,133.953
2025-04-07,M_3_18,4.023,155.258,NA,120.714
2025-04-07,M_4_6,3.565,139.768,NA,116.259
2025-04-07,M_4_18,3.686,155.039,NA,130.023
2025-04-07,M_5_6,3.85,108.013,NA,92.492
2025-04-07,M_5_18,3.848,154.22,NA,126.644
2025-04-07,M_6_6,3.86,154.406,NA,131.155
2025-04-07,M_6_18,3.864,174.006,NA,141.867
2025-04-23,M_1_6,4.145,113.643,NA,98.198
2025-04-23,M_1_18,3.76,106.61,NA,90.905
2025-04-23,M_2_6,3.817,133.302,NA,118.012
2025-04-23,M_2_18,4.052,97.12,NA,82.35
2025-04-23,M_3_6,4.132,117.386,NA,97.751
2025-04-23,M_3_18,4.032,138.854,NA,111.957
2025-04-23,M_4_6,3.577,153.163,NA,122.268
2025-04-23,M_4_18,3.694,163.058,NA,134.963
2025-04-23,M_5_6,3.844,115.855,NA,96.909
2025-04-23,M_5_18,3.844,96.876,NA,78.974
2025-04-23,M_6_6,3.864,93.039,NA,84.279
2025-04-23,M_6_18,3.861,125.036,NA,103.501
2025-05-07,M_1_6,4.149,104.357,NA,92.456
2025-05-07,M_1_18,3.723,145.288,NA,127.592
2025-05-07,M_2_6,3.797,126.514,NA,115.412
2025-05-07,M_2_18,3.985,184.706,NA,164.716
2025-05-07,M_3_6,4.154,123.541,NA,104.172
2025-05-07,M_3_18,4.068,91.497,NA,70.556
2025-05-07,M_4_6,3.637,109.583,NA,93.458
2025-05-07,M_4_18,3.742,134.868,NA,117.696
2025-05-07,M_5_6,3.877,152.661,NA,134.301
2025-05-07,M_5_18,3.861,157.278,NA,128.836
2025-05-07,M_6_6,3.884,125.185,NA,107.883
2025-05-07,M_6_18,3.861,120.479,NA,98.015
2025-06-01,M_1_6,4.143,53.51,NA,48.226
2025-06-01,M_1_18,3.722,98.836,NA,88.151
2025-06-01,M_2_6,3.792,102.884,NA,92.177
2025-06-01,M_2_18,3.997,80.003,NA,71.996
2025-06-01,M_3_6,4.153,99.414,NA,76.338
2025-06-01,M_3_18,4.086,150.177,NA,109.557
2025-06-01,M_4_6,3.625,114.05,NA,96.674
2025-06-01,M_4_18,3.723,152.051,NA,130.976
2025-06-01,M_5_6,3.857,109.98,NA,95.85
2025-06-01,M_5_18,3.847,102.786,NA,88.652
2025-06-01,M_6_6,3.869,103.282,NA,92.639
2025-06-01,M_6_18,3.859,136.18,NA,114.725
2025-06-01,M_7_7,4.002,93.534,NA,81.09
2025-06-01,M_7_18,3.974,106.451,NA,92.859
2025-06-01,M_8_6,4.026,102.221,NA,89.281
2025-06-01,M_8_18,3.991,104.511,NA,89.135