Location,Sp_sample,Date,MPa,Time
MU,Bapi_1,11/7/25,2.4,Mid Day
MU,Bapi_1,11/7/25,2.65,Mid Day
MU,Bapi_1,11/7/25,2.4,Mid Day
MU,Bapi_1,11/7/25,2.55,Mid Day
MU,Bapi_1,11/7/25,2.45,Mid Day
MU,Bapi_2,11/7/25,2.65,Mid Day
MU,Bapi_2,11/7/25,2.7,Mid Day
MU,Bapi_2,11/7/25,2.65,Mid Day
MU,Bapi_2,11/7/25,2.65,Mid Day
MU,Bapi_3,11/7/25,2.75,Mid Day
MU,Bapi_3,11/7/25,2.6,Mid Day
MU,Bapi_3,11/7/25,2.8,Mid Day
MU,Arca_1,11/7/25,1.8,Mid Day
MU,Arca_1,11/7/25,0.8,Mid Day
MU,Arca_1,11/7/25,0.6,Mid Day
MU,Arca_1,11/7/25,1.8,Mid Day
MU,Arca_1,11/7/25,1.7,Mid Day
MU,Arca_2,11/7/25,1.8,Mid Day
MU,Arca_2,11/7/25,1.85,Mid Day
MU,Arca_2,11/7/25,1.65,Mid Day
MU,Arca_2,11/7/25,1.7,Mid Day
MU,Arca_2,11/7/25,1.65,Mid Day
ML,Bapi_1,11/7/25,2.1,Mid Day
ML,Bapi_1,11/7/25,1.95,Mid Day
ML,Bapi_1,11/7/25,1.95,Mid Day
ML,Bapi_1,11/7/25,1.9,Mid Day
ML,Bapi_1,11/7/25,1.95,Mid Day
ML,Bapi_2,11/7/25,2.3,Mid Day
ML,Bapi_2,11/7/25,2.5,Mid Day
ML,Bapi_2,11/7/25,2.47,Mid Day
ML,Bapi_2,11/7/25,2.45,Mid Day
ML,Bapi_2,11/7/25,2.5,Mid Day
ML,Bapi_3,11/7/25,1.5,Mid Day
ML,Bapi_3,11/7/25,2,Mid Day
ML,Bapi_3,11/7/25,2.1,Mid Day
ML,Bapi_3,11/7/25,2,Mid Day
ML,Bapi_3,11/7/25,2.2,Mid Day
ML,Arca_1,11/7/25,1.95,Mid Day
ML,Arca_1,11/7/25,2.05,Mid Day
ML,Arca_1,11/7/25,1.8,Mid Day
ML,Arca_1,11/7/25,2,Mid Day
ML,Arca_1,11/7/25,2.05,Mid Day
ML,Arca_2,11/7/25,1.8,Mid Day
ML,Arca_2,11/7/25,1.85,Mid Day
ML,Arca_2,11/7/25,1.8,Mid Day
ML,Arca_2,11/7/25,1.75,Mid Day
ML,Arca_2,11/7/25,1.75,Mid Day
ML,Arca_3,11/7/25,1.75,Mid Day
ML,Arca_3,11/7/25,1.8,Mid Day
ML,Arca_3,11/7/25,1.8,Mid Day
SP,Bapi_1,11/7/25,1.6,Mid Day
SP,Bapi_1,11/7/25,1.9,Mid Day
SP,Bapi_1,11/7/25,1.75,Mid Day
SP,Bapi_1,11/7/25,1.7,Mid Day
SP,Bapi_1,11/7/25,1.87,Mid Day
SP,Bapi_2,11/7/25,1.55,Mid Day
SP,Bapi_2,11/7/25,1.6,Mid Day
SP,Bapi_2,11/7/25,1.6,Mid Day
SP,Bapi_2,11/7/25,1.7,Mid Day
SP,Bapi_2,11/7/25,1.7,Mid Day
SP,Bapi_3,11/7/25,1.95,Mid Day
SP,Bapi_3,11/7/25,1.6,Mid Day
SP,Bapi_3,11/7/25,1.75,Mid Day
SP,Bapi_3,11/7/25,1.65,Mid Day
SP,Bapi_3,11/7/25,1.78,Mid Day
SP,Arca_1,11/7/25,1.6,Mid Day
SP,Arca_1,11/7/25,1.55,Mid Day
SP,Arca_1,11/7/25,1.4,Mid Day
SP,Arca_1,11/7/25,1.4,Mid Day
SP,Arca_2,11/7/25,1.75,Mid Day
SP,Arca_2,11/7/25,1.75,Mid Day
SP,Arca_2,11/7/25,1.82,Mid Day
SP,Arca_3,11/7/25,1.87,Mid Day
SP,Arca_3,11/7/25,1.68,Mid Day
SP,Arca_3,11/7/25,1.91,Mid Day
SP,Arca_3,11/7/25,1.66,Mid Day
SP,Arca_3,11/7/25,1.8,Mid Day